sp2,sp3,numO,numN,
101,100,32,38,0
75,54,16,29,0
287,244,65,125,0
130,93,39,48,0
57,58,20,18,0
95,64,31,34,0
118,59,25,40,0
58,52,13,20,0
176,117,52,53,0
141,103,40,50,0
27,25,9,7,0
144,110,47,41,0
139,90,40,39,0
57,47,26,17,0
38,31,13,16,0
46,21,12,15,0
80,53,21,26,0
84,52,20,27,0
84,55,17,30,0
45,57,17,16,0
49,50,15,16,0
181,119,56,56,0
104,83,31,34,0
60,58,21,19,0
149,124,50,50,0
143,124,49,48,0
131,93,30,47,0
44,27,13,11,0
400,231,122,111,0
66,55,21,19,0
162,119,42,61,0
103,87,28,36,0
175,140,48,53,0
146,127,49,49,0
60,58,21,19,0
505,332,146,152,0
197,107,48,65,0
68,77,23,29,0
42,54,17,15,0
129,65,27,36,0
191,138,49,71,0
213,174,59,67,0
108,100,36,37,0
41,35,12,18,0
276,182,74,91,0
143,131,43,52,0
132,126,48,49,0
88,85,31,30,0
78,93,32,28,0
116,109,35,39,0
454,315,135,132,0
84,63,28,25,0
167,133,54,61,0
122,91,36,38,0
101,100,32,38,0
108,84,36,35,0
113,93,38,35,0
113,58,21,38,0
167,101,50,53,0
72,61,24,21,0
76,42,22,26,0
164,115,52,58,0
146,128,49,49,0
166,147,57,57,0
193,152,60,62,0
72,48,15,27,0
125,67,27,34,0
114,100,39,38,0
123,122,46,43,0
73,45,16,19,0
317,281,117,106,0
145,88,37,43,0
57,58,20,18,0
40,35,16,10,0
54,52,20,16,0
134,98,31,48,0
63,54,20,18,0
143,131,48,49,0
40,35,16,10,0
134,82,36,43,0
57,58,20,18,0
98,78,29,41,0
114,100,40,38,0
149,117,47,44,0
21,29,9,9,0
187,130,59,56,0
79,43,23,27,0
146,124,45,51,0
105,103,40,38,0
60,59,21,19,0
316,233,100,114,0
123,107,32,52,0
58,46,15,17,0
109,87,29,42,0
66,31,11,22,0
68,63,23,22,0
224,165,63,75,0
85,57,28,20,0
172,129,47,70,0
99,101,35,37,0
171,131,53,63,0
59,43,19,16,0
160,112,49,54,0
18,23,10,6,0
95,71,29,32,0
53,26,11,15,0
167,130,53,61,0
92,80,34,31,0
78,53,15,28,0
53,41,14,20,0
201,104,49,60,0
212,137,68,66,0
48,50,18,16,0
151,136,48,53,0
105,123,44,39,0
190,161,69,61,0
360,211,106,105,0
134,98,31,48,0
27,29,13,9,0
106,102,33,35,0
86,69,29,29,0
375,253,85,103,0
97,91,27,31,0
142,132,46,50,0
367,132,97,116,0
44,33,13,15,0
132,85,40,40,0
93,95,32,33,0
294,185,93,81,0
121,56,23,42,0
90,71,23,33,0
105,87,34,39,0
27,25,9,7,0
114,111,44,41,0
95,75,28,29,0
48,52,17,16,0
48,47,19,15,0
213,174,59,67,0
226,163,71,76,0
192,139,52,68,0
