sp2,sp3,numO,numN,
9,15,4,3,0
12,17,5,4,0
6,9,3,2,0
6,10,3,2,0
6,7,3,2,0
6,8,3,2,0
6,9,3,3,0
6,8,3,2,0
12,5,3,2,0
6,7,3,2,0
30,36,11,10,0
6,7,3,2,0
6,10,3,2,0
6,9,3,2,0
6,11,3,2,0
6,9,3,2,0
11,5,3,4,0
6,8,3,2,0
6,7,3,2,0
6,8,3,2,0
6,9,3,2,0
6,9,3,3,0
6,9,3,2,0
6,11,3,2,0
33,35,15,10,0
45,48,20,13,0
9,8,4,3,0
6,9,4,2,0
15,7,3,3,0
6,8,4,2,0
9,8,5,2,0
9,7,4,3,0
6,7,4,2,0
9,8,4,3,0
52,42,17,15,0
76,43,19,25,0
58,34,15,17,0
36,34,15,10,0
12,8,3,2,0
15,7,3,3,0
6,8,3,2,0
6,9,4,2,0
43,32,16,10,0
45,32,15,11,0
36,34,16,10,0
36,33,16,10,0
36,34,15,10,0
42,32,15,10,0
36,35,15,10,0
36,36,15,11,0
36,35,15,10,0
36,35,15,10,0
41,32,15,12,0
36,31,15,10,0
39,33,16,11,0
39,33,17,10,0
36,33,15,10,0
39,32,17,10,0
39,32,16,11,0
40,34,15,13,0
36,32,15,10,0
45,31,15,11,0
39,29,17,10,0
39,33,17,10,0
36,30,12,10,0
42,53,21,16,0
18,12,4,4,0
45,33,15,11,0
39,27,13,11,0
36,35,15,11,0
18,12,4,4,0
21,15,6,5,0
24,15,6,6,0
12,15,5,4,0
25,10,6,7,0
25,9,6,7,0
25,9,5,8,0
22,13,4,8,0
28,9,4,7,0
22,8,4,7,0
22,10,5,7,0
31,9,4,8,0
22,11,5,7,0
26,11,4,10,0
29,9,5,7,0
27,9,4,9,0
22,12,4,7,0
22,9,4,7,0
25,10,5,8,0
22,12,4,7,0
22,11,4,7,0
22,12,4,7,0
25,20,8,6,0
9,15,4,3,0
23,9,6,3,0
15,24,6,5,0
48,39,23,12,0
21,18,6,5,0
53,34,15,13,0
38,38,14,14,0
56,30,18,16,0
48,38,17,13,0
39,38,13,11,0
46,32,18,12,0
49,38,17,15,0
46,39,15,15,0
49,27,15,11,0
54,26,18,13,0
43,31,18,11,0
48,30,20,14,0
47,31,19,15,0
47,30,17,16,0
15,10,6,5,0
15,12,6,5,0
15,19,7,5,0
12,14,5,4,0
12,14,5,4,0
12,17,5,4,0
12,17,5,4,0
12,17,5,4,0
12,17,5,4,0
36,33,15,12,0
29,22,10,9,0
42,36,17,13,0
9,14,4,3,0
9,10,4,3,0
12,9,5,4,0
15,10,7,4,0
56,34,16,16,0
27,28,10,9,0
18,26,9,6,0
30,23,9,8,0
30,38,13,10,0
27,19,10,6,0
18,21,9,5,0
24,25,12,7,0
21,29,9,8,0
21,29,9,8,0
27,11,9,6,0
27,19,10,6,0
27,20,10,6,0
24,25,12,7,0
21,29,10,8,0
27,20,10,6,0
27,22,13,7,0
36,23,14,10,0
19,7,3,6,0
15,9,3,4,0
15,8,3,3,0
18,6,4,4,0
15,8,3,3,0
18,5,4,4,0
36,7,4,6,0
15,8,3,3,0
15,6,3,3,0
15,7,4,3,0
24,5,3,4,0
15,6,4,3,0
15,8,3,3,0
18,6,5,3,0
21,5,3,3,0
9,11,4,3,0
13,7,5,2,0
56,41,19,18,0
59,43,20,19,0
54,32,15,18,0
56,41,19,18,0
59,43,20,19,0
54,32,15,18,0
56,41,19,18,0
59,43,20,19,0
54,32,15,18,0
9,5,5,2,0
9,6,5,2,0
6,6,4,2,0
6,7,4,2,0
6,7,3,2,0
12,5,6,3,0
9,7,5,2,0
12,6,6,3,0
13,7,5,5,0
14,6,5,4,0
9,7,6,2,0
9,8,6,2,0
15,5,4,3,0
15,6,4,3,0
14,5,5,4,0
14,6,5,4,0
17,5,3,4,0
11,8,3,4,0
15,7,3,7,0
11,6,4,4,0
11,7,4,4,0
11,7,3,4,0
20,5,3,5,0
11,8,3,4,0
6,11,3,2,0
9,8,4,3,0
9,9,4,3,0
11,9,3,5,0
6,12,3,3,0
6,10,4,3,0
6,11,4,3,0
6,11,3,3,0
6,11,3,2,0
6,10,4,2,0
11,8,3,4,0
6,11,3,2,0
6,12,3,3,0
6,11,3,2,0
6,11,3,2,0
9,8,4,3,0
9,9,4,3,0
10,10,3,5,0
6,10,3,2,0
12,5,6,3,0
12,6,6,3,0
14,5,4,5,0
9,8,4,3,0
9,8,4,3,0
12,5,5,4,0
12,6,5,4,0
13,7,4,6,0
9,7,5,3,0
9,7,4,3,0
18,5,4,4,0
12,7,3,2,0
6,10,3,2,0
6,11,3,3,0
6,10,3,2,0
9,7,4,3,0
6,8,4,2,0
6,9,3,2,0
13,7,4,2,0
9,6,4,3,0
12,6,6,3,0
12,7,6,3,0
15,6,4,3,0
14,6,4,5,0
9,9,4,3,0
9,9,4,3,0
12,6,5,4,0
12,7,5,4,0
9,7,5,3,0
9,8,5,3,0
9,8,4,3,0
18,6,4,4,0
16,6,5,3,0
10,6,3,5,0
15,7,3,7,0
10,10,3,5,0
10,11,3,6,0
10,10,3,5,0
13,7,4,6,0
11,6,4,4,0
6,9,4,2,0
6,10,4,3,0
6,8,4,2,0
15,6,4,3,0
9,7,6,2,0
11,7,4,4,0
6,10,4,2,0
6,11,4,3,0
6,10,4,2,0
6,10,4,2,0
9,7,5,3,0
10,9,4,5,0
6,8,5,2,0
6,9,5,2,0
6,9,4,2,0
9,7,5,2,0
11,7,3,4,0
6,10,3,2,0
6,10,3,2,0
9,7,4,3,0
9,8,4,3,0
6,8,4,2,0
6,9,4,2,0
18,5,5,3,0
20,5,3,5,0
16,5,6,2,0
16,6,6,2,0
19,5,4,2,0
18,5,4,4,0
13,8,4,2,0
13,8,4,2,0
16,5,5,3,0
16,6,5,3,0
17,7,4,5,0
13,6,5,2,0
13,7,4,2,0
20,5,5,2,0
6,7,3,2,0
24,27,10,8,0
39,27,16,9,0
27,28,10,9,0
6,9,4,2,0
15,6,4,3,0
13,7,4,2,0
16,6,6,2,0
6,11,3,2,0
6,11,3,2,0
18,5,4,4,0
15,8,3,3,0
15,8,3,3,0
15,11,7,4,0
15,8,3,3,0
35,20,8,14,0
27,26,8,7,0
10,6,3,5,0
16,5,5,3,0
59,32,16,13,0
9,15,4,3,0
30,33,11,10,0
21,31,10,7,0
12,18,5,5,1
13,14,4,6,1
30,28,9,10,1
15,11,4,3,1
13,14,4,6,1
17,7,5,6,1
22,24,7,11,1
6,3,3,2,1
18,5,4,4,1
36,23,10,8,1
15,7,3,3,1
9,16,4,4,1
9,9,4,3,1
31,18,8,10,1
15,11,4,3,1
23,14,7,7,1
9,8,4,3,1
68,53,20,17,1
29,23,9,9,1
29,17,6,12,1
21,8,6,5,1
41,39,14,14,1
15,17,7,4,1
6,10,3,2,1
9,10,4,3,1
38,29,12,13,1
12,7,3,2,1
31,32,10,11,1
9,15,4,4,1
25,9,5,4,1
37,26,10,12,1
26,17,10,8,1
18,22,7,7,1
15,12,4,3,1
15,10,9,4,1
47,20,16,14,1
15,13,7,4,1
23,19,7,8,1
13,9,4,3,1
15,5,3,3,1
49,33,16,12,1
33,22,11,9,1
22,22,8,6,1
26,17,10,8,1
14,10,5,5,1
20,20,6,7,1
27,30,11,9,1
11,9,3,5,1
53,28,18,15,1
24,17,8,6,1
13,13,4,6,1
15,15,6,5,1
11,7,3,4,1
20,18,6,7,1
25,19,9,5,1
15,4,3,3,1
24,19,11,7,1
72,39,35,15,1
21,17,7,5,1
24,23,10,8,1
22,10,8,5,1
23,23,7,9,1
20,11,5,6,1
9,12,4,3,1
21,27,9,8,1
9,12,4,4,1
9,14,6,3,1
39,17,8,9,1
15,12,8,3,1
31,18,10,9,1
9,8,4,3,1
12,9,6,3,1
6,11,3,3,1
6,12,3,3,1
51,33,15,17,1
31,22,8,6,1
16,11,5,3,1
