sp2,sp3,numO,numN,
48,33,16,14,0
60,39,18,16,0
12,7,4,2,0
12,14,5,5,0
9,9,5,2,0
16,9,5,3,0
16,10,5,3,0
9,5,5,2,0
47,29,11,21,0
15,17,6,5,0
27,25,9,7,0
12,5,3,2,0
12,9,5,4,0
50,37,16,15,0
15,7,3,3,0
21,8,7,4,0
18,23,8,7,0
55,44,17,17,0
45,26,19,12,0
6,7,3,2,0
15,19,6,6,0
70,42,25,17,0
12,15,6,4,0
52,44,17,19,0
50,26,14,9,0
9,13,4,3,0
15,12,5,3,0
18,11,6,4,0
9,9,5,2,0
51,20,8,18,0
13,7,4,2,0
12,12,5,4,0
9,10,4,3,0
16,8,5,3,0
6,11,3,3,0
54,59,23,18,1
111,85,32,39,1
42,34,9,18,1
75,69,23,27,1
157,129,44,48,1
179,138,50,58,1
447,281,136,137,1
54,52,19,17,1
140,130,46,49,1
21,23,10,7,1
96,110,34,33,1
16,15,5,7,1
182,123,50,59,1
60,58,21,19,1
128,91,29,46,1
59,45,19,22,1
54,31,15,17,1
148,90,38,44,1
65,47,26,21,1
144,111,43,49,1
41,25,15,13,1
82,59,22,24,1
43,32,16,16,1
66,75,24,26,1
57,48,19,15,1
143,131,43,52,1
352,215,107,114,1
96,62,25,24,1
52,50,13,24,1
153,115,36,65,1
355,220,107,115,1
133,117,44,43,1
221,177,74,77,1
117,56,23,39,1
192,123,51,63,1
